"id","created_at","updated_at","almost_list","answer","public_id","reward_code","is_unlocked","unlock_at","hint"
"1","2025-06-26 18:00:40.496386+00","2025-07-17 22:21:05.41+00","[""Quântico"", ""Fóton"", ""Qubit""]","Quantum","eb94c2b7-aefa-48f8-a940-d91ca495ceb4","VXPF140SN","true","2025-07-17 22:21:05.41+00","Decisões coexistem até o instante do olhar,
O impossível se torna cálculo."
"2","2025-06-26 18:00:40.496386+00","2025-07-18 12:32:32.823+00","[""Liberdade"", ""Checoslováquia"", ""Russo""]","Svoboda","ac6acde9-2e59-45fd-a64e-7c4fcaf0a2d0","9QEEBFHOI","true","2025-07-18 12:32:32.823+00","O silêncio do código desafia grades,
A vontade se escreve sem tradução."
"3","2025-06-26 18:00:40.496386+00","2025-07-18 14:07:28.893+00","[""Rede"", ""Malha"", ""Conectado""]","Mesh","ec68d5a2-d38b-438f-98c8-da83f6a67e33","9ZHHV60ML","true","2025-07-18 14:07:28.892+00","A força não está no centro,
Mas no emaranhado de conexões livres."
"4","2025-06-26 18:00:40.496386+00","2025-07-18 14:24:10.873+00","[""Código"", ""Passcode"", ""Chave""]","Senha","88344827-7e7d-454c-ab40-852582de38db","IAZKJ6Q9H","true","2025-07-18 14:24:10.873+00","O segredo se esconde em engrenagens de lógica,
Entregue ao esquecimento."
"5","2025-06-26 18:00:40.496386+00","2025-07-18 15:48:24.156+00","[""Criptografia"", ""Chave pública"", ""Algoritmo""]","RSA","f764ed15-af64-41b5-9d47-60a7e92e3378","140TQ2TOF","true","2025-07-18 15:48:24.156+00","O segredo viaja em lados opostos,
A solução exige muito mais do que olhos atentos."
"6","2025-06-26 18:00:40.496386+00","2025-07-18 17:02:49.212+00","[""Android"", ""Robô"", ""Implante""]","Cyborg","a5bf593d-62e4-4974-a93d-5360a041526e","0P3A77OTR","true","2025-07-18 17:02:49.212+00","A fronteira se desfaz entre pulsos e impulsos,
A unidade nasce."
"7","2025-06-26 18:00:40.496386+00","2025-07-18 18:05:14.847+00","[""Cloud"", ""Armazenamento"", ""Online""]","Nuvem","069a656c-738a-4b15-a41f-e057ceb4586d","AFZMJJSPO","true","2025-07-18 18:05:14.847+00","A corrente é tão forte quanto seu elo oculto,
O risco começa onde menos se espera."
"8","2025-06-26 18:00:40.496386+00","2025-07-18 18:26:00.918+00","[""Autenticação"", ""Código SMS"", ""Token""]","2FA","f60cefa9-6c49-4c8e-b9fc-f2ec3b33bdf9","E77NPRN08","true","2025-07-18 18:26:00.918+00","O mesmo ponto abriga opostos,
A resposta só surge no contraste."
"9","2025-06-26 18:00:40.496386+00","2025-07-18 19:23:42.729+00","[""Gerência"", ""Comando"", ""Painel""]","Controle","f1a3851b-b460-4266-a491-00a0a1a3077c","8A94FX2US","true","2025-07-18 19:23:42.729+00","Conectada pelo fio invisível,
A vontade se rende ao oculto."
"10","2025-06-26 18:00:40.496386+00","2025-07-18 19:53:19.593+00","[""Orwell"", ""Big Brother"", ""Distopia""]","1984","1987c44a-1585-454b-9aa7-f883fd34ea2d","AX8KGOPI1","true","2025-07-18 19:53:19.593+00","Nada escapa ao olhar que nunca dorme,
O segredo se desfaz sob luz constante."
